order,id,priority,source,frequency,category,question,answer,formula,followup,pitfalls,variants
1,c001,S,past,9,数学・線形代数,固有値・固有ベクトルとは何ですか？,正方行列 A に対し、0でないベクトル v が Av=λv を満たすとき、λを固有値、vを固有ベクトルといいます。行列による変換で向きが変わらず、倍率だけがλになる方向です。,"Av=λv,  v≠0",物理的には、振動モード・主軸・安定性など、系に固有な方向とその大きさを表します。,固有ベクトルに零ベクトルは含みません。「射影そのもの」ではありません。,行列の固有値とは？ / 固有値の物理的意味は？ / 固有値・固有ベクトルって何？
2,c056,S,past,8,ロボティクス,順運動学と逆運動学とは何ですか？,順運動学は関節変数から手先の位置・姿勢を求める問題です。逆運動学は目標の手先位置・姿勢から関節変数を求める問題で、解が複数、存在しない、特異になる場合があります。,,,,
3,c025,S,past,6,機械力学・振動,慣性モーメントとは何ですか？,ある回転軸まわりの質量分布によって決まる、角加速度の生じにくさを表す量です。回転運動における質量に対応します。,"I=∫r²dm,  τ=Iα（固定軸）",,,
4,c047,S,past,5,FEM・数値解析,有限要素法とは何ですか？,連続体を有限個の要素に分割し、要素内の変位などを形状関数で近似して、偏微分方程式の境界値問題を連立代数方程式に変換して解く数値解析法です。,K u = f,,,
5,c058,S,past,5,ロボティクス,同次座標とは何ですか？,"n次元の点を1次元増やして表し、平行移動を含むアフィン変換を行列積として統一的に扱う表現です。3次元点pは通常[pᵀ,1]ᵀで表します。",p_h=[x y z 1]ᵀ,,,
6,c059,S,past,5,ロボティクス,同次座標変換行列とは何ですか？,回転Rと並進pを1つの4×4行列にまとめ、座標系間の位置・姿勢変換を表す行列です。複数の変換を行列積で合成できます。,"T=[[R,p],[0 0 0,1]],  p'_h=T p_h",,,同次座標変換とは？ / 同時座標変換とは？
7,c065,S,past,5,制御,伝達関数とは何ですか？,初期値を0とした線形時不変系で、出力のラプラス変換を入力のラプラス変換で割ったものです。入力から出力への周波数領域での関係を表します。,G(s)=Y(s)/U(s),,,
8,c066,S,past,5,制御,連続時間LTIシステムが安定かどうかはどう判定しますか？,伝達関数の全ての極が複素平面の左半平面、つまり実部が負なら漸近安定です。ラウス・フルビッツ、根軌跡、ナイキスト線図、ボード線図などでも判定できます。,,,虚部が負ではなく、実部が負です。,
9,c011,S,past,5,数学・微分方程式,微分方程式の一般解とは何ですか？,微分方程式を満たし、方程式の階数に応じた任意定数を含む解の族です。初期条件や境界条件を与えると、通常は特定の特殊解が決まります。,,,,
10,c002,S,past,5,数学・線形代数,行列の対角化とは何ですか？,n次正方行列Aを、正則行列Pを用いて P⁻¹AP=D とし、Dを対角行列にすることです。Pの列に固有ベクトルを並べると、Dの対角成分に対応する固有値が並びます。,P⁻¹AP=D  ⇔  A=PDP⁻¹,対角化すると、Aのべき乗や線形微分方程式の計算が簡単になります。,「行列を行基本変形して対角にする」こととは別です。,
11,c034,S,past,5,材料力学・設計,ヤング率とは何ですか？,線形弾性域における垂直応力と垂直ひずみの比例係数で、材料の引張・圧縮に対する変形しにくさを表します。,E=σ/ε  または σ=Eε,,梁のたわみ式に出るEIのIは断面二次モーメントで、ヤング率そのものの定義ではありません。,
12,c021,S,past,5,機械力学・振動,固有振動数とは何ですか？,外力がない自由振動で、系が固有に振動する周波数です。質量と剛性で決まり、1自由度の無減衰系では ωₙ=√(k/m) です。,"ωₙ=√(k/m),  fₙ=ωₙ/(2π)",,,
13,c022,S,past,5,機械力学・振動,共振周波数とは何ですか？,周期外力を加えたとき、定常応答振幅が最大になる加振周波数です。減衰が小さい系では固有振動数に近くなりますが、厳密には同じとは限りません。,1自由度粘性減衰系: ωᵣ=ωₙ√(1-2ζ²)（ζ<1/√2）,,,
14,c031,S,past,5,機械力学・振動,ラグランジュの運動方程式とは何ですか？,一般化座標qᵢを用い、ラグランジアンL=T−Vから運動方程式を得る方法です。拘束のある多自由度系を、力の成分を逐一分解せず記述できます。,"d/dt(∂L/∂q̇ᵢ)−∂L/∂qᵢ=Qᵢ,  L=T−V",,ラグランジアンは「位置エネルギー−運動エネルギー」ではなく T−V です。,
15,c087,S,past,5,流体力学,レイノルズ数とは何ですか？,慣性力と粘性力の比を表す無次元数で、流れが層流か乱流か、また模型実験の相似性を考える指標です。,Re=ρUL/μ=UL/ν,,,
16,c075,S,past,5,計測・信号処理,標本化と量子化の違いは何ですか？,標本化は連続時間信号を離散的な時刻で取り出す操作です。量子化は各標本値の連続的な振幅を、有限個の離散レベルに丸める操作です。,,,,
17,c076,S,past,5,計測・信号処理,標本化定理とは何ですか？,最高周波数f_maxまでに帯域制限された信号は、標本化周波数f_sを2f_maxより大きく取れば、理想条件下で完全に復元できます。,f_s > 2f_max,,,
18,c060,S,past,4,ロボティクス,オイラー角とは何ですか？,3次元の姿勢を、定めた順序で行う3回の軸回転の角度で表す方法です。回転順序により表現が異なり、特定姿勢でジンバルロックが生じます。,,例としてZYXオイラー角はヨー・ピッチ・ロールの順に表せますが、定義の確認が必要です。,,
19,c061,S,past,4,ロボティクス,ロボットのヤコビ行列は何を表しますか？,関節速度q̇と手先の並進・角速度vの関係を表します。力の関係では、手先力Fと関節トルクτを τ=JᵀF で結びます。,"v=J(q)q̇,  τ=JᵀF",,,
20,c003,S,past,4,数学・線形代数,行列が対角化できる条件は何ですか？,n次正方行列が対角化可能である必要十分条件は、一次独立な固有ベクトルをn本もつことです。固有値がすべて異なれば十分条件として対角化できます。,,重複固有値があっても、各固有空間の次元が代数的重複度を満たせば対角化可能です。,A自身が正則である必要はありません。正則である必要があるのは固有ベクトルを並べたPです。,
21,c009,S,past,4,数学・線形代数,ヤコビ行列とは何ですか？,多変数ベクトル値関数の各出力を各入力で偏微分して並べた行列です。入力の微小変化を出力の微小変化へ写す局所的な線形近似を表します。,"Jᵢⱼ=∂fᵢ/∂xⱼ,  Δy≈JΔx",ロボティクスでは関節速度と手先速度を結びます。,,ヤコビアンとは？ / ヤコビ行列行列とは？
22,c035,S,past,4,材料力学・設計,応力とは何ですか？力との違いは何ですか？,応力は物体内部のある面に作用する内力を、単位面積当たりで表した量です。力の単位はN、応力の単位はPa=N/m²で、同じ力でも断面積により応力は変わります。,"平均垂直応力 σ=N/A,  平均せん断応力 τ=V/A",,,
23,c037,S,past,4,材料力学・設計,応力集中とは何ですか？,穴、切欠き、段差など形状の不連続部で、局所応力が公称応力より大きくなる現象です。最大応力と公称応力の比を応力集中係数といいます。,K_t=σ_max/σ_nom,,,
24,c070,S,past,3,制御,フィードバック制御とは何ですか？,出力を測定して目標値と比較し、その偏差に基づいて入力を調整する制御です。モデル誤差や外乱の影響を抑えられますが、設計が悪いと不安定化します。,e=r−y,,,
25,c078,S,past,3,計測・信号処理,標本化定理を満たさないと何が起こりますか？,ナイキスト周波数を超える成分が低い周波数に折り返して見えるエイリアシングが起こり、元の信号を一意に復元できなくなります。,,対策は標本化周波数を上げるか、標本化前にアンチエイリアス用ローパスフィルタを入れることです。,,
26,c068,S,past,2,制御,ナイキスト線図とは何ですか？,開ループ伝達関数G(jω)の周波数応答を、ωを変化させながら複素平面上に描いた軌跡です。閉ループ安定性や安定余裕の評価に使います。,,,,
27,c090,S,past,2,流体力学,非圧縮性ニュートン流体の運動方程式の名前と式を答えてください。,ナビエ–ストークス方程式です。左辺は単位体積当たりの慣性項、右辺は圧力勾配、粘性項、体積力を表します。,ρ(∂u/∂t+(u·∇)u)=−∇p+μ∇²u+ρf,,,
28,c044,S,past,1,材料力学・設計,片持ち梁の先端集中荷重で、長さを2倍にすると先端たわみは何倍ですか？,断面、材料、荷重が同じなら、先端たわみは長さの3乗に比例するため8倍です。,δ=PL³/(3EI) ⇒ L→2Lでδ→8δ,,,
29,c098,A,past,4,HI・触覚・VR,皮膚の主要な機械受容器を挙げてください。,無毛部皮膚では、メルケル盤、マイスナー小体、パチニ小体、ルフィニ終末が代表です。順に持続圧・形状、低周波振動・滑り、高周波振動、皮膚伸展に関係します。,,速順応/遅順応、受容野の大小も説明できると強いです。,,
30,c026,A,past,3,機械力学・振動,慣性テンソルとは何ですか？,三次元剛体の角速度と角運動量の関係を表す3×3の対称行列です。対角成分は各軸まわりの慣性モーメント、非対角成分は符号を含む慣性乗積です。,L=Iω,座標軸を慣性主軸に取ると慣性テンソルは対角化されます。,,
31,c016,A,past,3,統計,中心極限定理とは何ですか？,独立同分布の確率変数の和または標本平均は、標本数が十分大きいと、元の分布によらず近似的に正規分布に従うという定理です。,"√n( X̄-μ )/σ → N(0,1)",,標本平均が母平均そのものに近づくことは大数の法則です。中心極限定理は分布形の話です。,
32,c063,A,past,2,ロボティクス,ロボットアームの順運動学と移動ロボットの運動学はどう違いますか？,ロボットアームでは関節角とリンク変換を連鎖して手先姿勢を求めます。移動ロボットでは車輪速度などから機体の位置・姿勢変化を求め、非ホロノミック拘束や滑りも考慮します。,"差動二輪例: v=r(ω_R+ω_L)/2,  θ̇=r(ω_R−ω_L)/L",,,
33,c067,A,past,2,制御,代表的な安定判別法を挙げてください。,極の直接確認、ラウス・フルビッツ判別、ナイキスト安定判別、ボード線図のゲイン余裕・位相余裕、状態空間では固有値の確認があります。,,,,
34,c010,A,past,2,数学・線形代数,ヤコビアンの行列式が0になることは何を意味しますか？,正方ヤコビ行列なら det J=0 はランクが落ち、局所的に逆変換できない特異点であることを意味します。ロボットでは、ある手先方向に速度を出せない、または逆運動学が不安定になる状態です。,det J=0（正方の場合） / rank(J)低下（一般の場合）,,非正方行列では行列式ではなくランクで判定します。,
35,c039,A,past,2,材料力学・設計,ひずみとは何ですか？単位は何ですか？,ひずみは変形量を元の寸法で規格化した量です。垂直ひずみは長さ変化を初期長さで割るため無次元です。,ε=ΔL/L₀,,,
36,c023,A,past,2,機械力学・振動,固有振動数を上げるにはどうすればよいですか？,基本的には剛性を大きくするか質量を小さくします。梁では、材料のヤング率や断面二次モーメントを増やし、長さや密度を減らす方向です。,ωₙ∝√(k/m),,単に「金属にする」では不十分で、剛性と質量の両方が変わる点を説明します。,
37,c024,A,past,2,機械力学・振動,共振を抑える方法を挙げてください。,加振周波数と固有振動数を離す、減衰を増やす、剛性・質量を変えて固有振動数をずらす、動吸振器を付ける、入力源を絶縁する方法があります。,,防振は振動伝達を減らし、制振は構造自体の振動エネルギーを散逸・相殺します。,,
38,c088,A,past,2,流体力学,ニュートン流体とは何ですか？,せん断応力が速度勾配、すなわちせん断ひずみ速度に比例し、その比例係数である粘度がせん断速度によらない流体です。,τ=μ du/dy,,,
39,c093,A,past,2,熱力学・伝熱,エンタルピーの定義を式で答えてください。,エンタルピーHは内部エネルギーUと圧力pと体積Vの積の和です。比エンタルピーなら h=u+pv です。,"H=U+pV,  h=u+pv",,,
40,c139,A,past,2,自分の経験,得意科目を聞かれたら、どう答えますか？,科目名だけで終えず、得意な理由、代表的な式・概念、実験や設計で使った例を30秒で述べます。その後に深掘りされても答えられる範囲の科目を選びます。,,,有限要素法などを挙げるなら、弱形式・形状関数・連立方程式の解法まで準備します。,
41,c077,A,past,2,計測・信号処理,ナイキスト周波数とは何ですか？,標本化周波数の半分 f_s/2 の周波数です。デジタル信号で一意に表現できる上限周波数に対応します。,f_N=f_s/2,,,
42,c079,A,past,2,計測・信号処理,量子化誤差とは何ですか？,連続値を最も近い量子化レベルへ丸めることで生じる、真の値と量子化値の差です。一様量子化なら通常、誤差の大きさは量子化幅Δの半分以下です。,|e_q|≤Δ/2,,,
43,c084,A,past,2,計測・信号処理,フーリエ級数とフーリエ変換とは何ですか？,フーリエ級数は周期信号を離散的な周波数の正弦波・複素指数関数の和で表します。フーリエ変換は非周期信号も含め、時間領域の信号を連続周波数成分へ分解します。,,,,
44,c085,A,past,2,計測・信号処理,高速フーリエ変換（FFT）とは何ですか？,離散フーリエ変換DFTを効率よく計算するアルゴリズム群です。代表的には計算量をO(N²)からO(N log N)へ削減します。,"DFT: O(N²), FFT: O(N log N)",,,
45,c048,A,past,1,FEM・数値解析,有限要素法では要素ごとにどのように微分方程式を簡略化しますか？,未知場を節点値と形状関数の線形結合で近似し、重み付き残差法、特にガラーキン法で弱形式を作ります。各要素の剛性行列と荷重ベクトルを計算し、全体へ組み立てます。,"u≈Nq,  ∫wR dΩ=0,  要素方程式 kₑqₑ=fₑ",,,
46,c052,A,past,1,FEM・数値解析,有限要素法のメリットとデメリットを説明してください。,メリットは複雑形状、異種材料、多様な境界条件を扱いやすいことです。デメリットはメッシュやモデル化に依存し、計算量が大きく、結果の妥当性確認が必要なことです。,,,,
47,c053,A,past,1,FEM・数値解析,有限要素法で大規模な連立一次方程式を効率よく解く方法は？,剛性行列の疎性・対称性・正定値性を利用します。直接法では疎行列用LUやCholesky分解、反復法では共役勾配法などを前処理付きで使います。,,,行基本変形を手計算する、だけでは大規模計算の工夫として不十分です。,
48,c097,A,past,1,HI・触覚・VR,クロスモーダル知覚とは何ですか？,ある感覚モダリティの情報が、別の感覚モダリティの知覚や判断に影響する現象です。例として視覚情報で物体の重さや触感の知覚が変わることがあります。,,,『別の知覚が必ず生起する』よりも『相互に影響する』と説明すると安全です。,
49,c099,A,past,1,HI・触覚・VR,触覚にはどのような種類がありますか？,皮膚感覚として圧・振動・伸展・温冷・痛みなどがあり、広義の触覚には筋・腱・関節から得る固有受容感覚や運動感覚も含まれます。,,,,
50,c105,A,past,1,HI・触覚・VR,VR酔いの主な原因は何ですか？,視覚が示す運動と前庭感覚・固有感覚が示す運動の不一致、表示遅延、低フレームレート、不自然な加速度や視野運動などが主因と考えられます。,,,,
51,c106,A,past,1,HI・触覚・VR,VR酔いを減らす方法を挙げてください。,遅延を減らし高フレームレートを保つ、急な加減速や回転を避ける、移動時に視野を狭める、固定した視覚基準を置く、短時間から慣らす方法があります。,,,,
52,c057,A,past,1,ロボティクス,運動学と動力学の違いは何ですか？,運動学は力やトルクを直接考えず、位置・姿勢・速度・加速度の幾何学的関係を扱います。動力学は質量、慣性、力、トルクと運動の関係を扱います。,,,,
53,c062,A,past,1,ロボティクス,ロボットの特異点とは何ですか？,ヤコビ行列のランクが低下し、手先が動ける方向を失う姿勢です。逆速度計算では関節速度が非常に大きくなるなど不安定になります。,,,,
54,c064,A,past,1,ロボティクス,移動ロボットの順運動学と逆運動学を説明してください。,順運動学は車輪角速度から機体の並進速度・角速度を求めます。逆運動学は目標の機体速度から必要な各車輪角速度を求めます。,,,,
55,c069,A,past,1,制御,ナイキスト安定判別法を説明してください。,開ループ伝達関数の右半平面極数Pと、ナイキスト線図が−1点を囲む回数Nから、閉ループの右半平面極数Zを関係づけて安定性を判定します。符号規約に注意し、Z=0なら安定です。,代表的規約: N=Z−P（反時計回り正など、教科書の規約を確認）,,囲み数の正負は規約で変わるため、P・Zとの関係を一貫して述べます。,
56,c071,A,past,1,制御,フィードフォワード制御とは何ですか？,目標値や測定可能な外乱から、モデルに基づいて必要な操作量を先回りして与える制御です。偏差が生じてから修正するのではなく、既知の影響を事前に補償します。,,通常はフィードバックと組み合わせて、速応性とロバスト性を両立します。,,
57,c073,A,past,1,制御,ボード線図とは何ですか？,周波数を対数軸に取り、伝達関数のゲインと位相を周波数ごとに描く図です。帯域、共振、ゲイン余裕、位相余裕などを読み取れます。,,,,
58,c004,A,past,1,数学・線形代数,実対称行列の固有値と固有ベクトルにはどんな性質がありますか？,実対称行列の固有値はすべて実数で、異なる固有値に属する固有ベクトルは互いに直交します。したがって直交行列で対角化できます。,"A=Aᵀ ⇒ QᵀAQ=D,  QᵀQ=I",,,
59,c005,A,past,1,数学・線形代数,ベクトルや行列の一次独立・一次従属とは何ですか？,ベクトル集合が一次独立とは、それらの線形結合が零ベクトルになる係数がすべて0の場合です。0でない係数の組が存在すれば一次従属です。,c₁v₁+…+cₙvₙ=0 ⇒ c₁=…=cₙ=0,正方行列では、列ベクトルが一次独立 ⇔ 行列式が0でない ⇔ 逆行列が存在します。,,
60,c007,A,past,1,数学・線形代数,線形変換で平面図形の面積はどう変わりますか？,2次元の線形変換Aを施すと、面積は |det A| 倍になります。行列式の符号は向きの反転、絶対値は面積倍率を表します。,S' = |det A| S,,,
61,c036,A,past,1,材料力学・設計,せん断力とせん断応力とは何ですか？,せん断力Vは、切断面に平行に働く内力の合力です。せん断応力τは、そのせん断力が断面内に分布した単位面積当たりの力です。,平均 τ=V/A,,せん断力はモーメントによって発生するもの、と限定しません。,
62,c038,A,past,1,材料力学・設計,真応力と公称応力の違いは何ですか？,公称応力は荷重を初期断面積で割り、真応力は荷重をその時点の実断面積で割ります。引張で断面が細くなると、通常は真応力の方が大きくなります。,"σ_n=P/A₀,  σ_t=P/A",,,
63,c041,A,past,1,材料力学・設計,応力と変位の関係を説明してください。,外力から内力・応力が生じ、材料の構成則により応力とひずみが関係し、ひずみを空間的に積分すると変位が得られます。線形弾性なら σ=Eε です。,"外力→応力,  σ=Eε,  ε=du/dx（1次元）",,,
64,c042,A,past,1,材料力学・設計,主応力とは何ですか？,ある点でせん断応力が0になる面に作用する垂直応力で、応力テンソルの固有値です。その面の法線方向が主方向です。,det(σ−λI)=0,,,
65,c043,A,past,1,材料力学・設計,不静定問題とは何ですか？,力とモーメントのつり合い式だけでは未知反力や内力を一意に決められず、変形の適合条件と材料の構成則も必要な問題です。,,,,
